PRENOM,NOM,DATES,IMAGE,BIOGRAPHIE
Yassir,AMAZINE,"(Belgique, 1975- )",amazine-ok.jpg,"Pendant son adolescence, Yassir Amazine a fréquenté l’atelier de Luc Mondry et de Nicolas Babilas à La Clairière. Ses dessins sont faits au bic noir, rouge, vert ou bleu. Il chante ou fredonne en dessinant, parle peu ou pas à l’atelier. En fait, chante-il ? Dessine-t-il ? Ou bien, s’évade-t-il ? Jamais, il ne cherche de modèle pour ses dessins. Des sujets reviennent pourtant : soleil, maison et mosquée, avion, auto, guitare. Un désordre apparent mais quand  la surface est remplie, les deux faces souvent, tout se tient. Amazine a fini son dessin, il ne chante plus. Le dessin commence sa vie propre, il existe seul, nourri par Amazine."
Inès,ANDOUCHE,"(Belgique, 1958-)",InesAndouche2330.JPG,"Inès Andouche fréquente l'atelier Art à part entière du Centre de Hemptinne à Orp-Jauche depuis 1988. Elle y dessine intensément. Son corps est en fusion avec les recherches de composition, de couleurs et d’expression qu’elle mène pour chaque œuvre. C’est un travail réel qui l’attend, un travail qui lui appartient. Plongée dans une concentration qui ne souffre d’aucune distraction, elle possède l’atelier et profite de la liberté intrinsèque de ce lieu. Le geste affirmé, elle ceinture une image de référence puisée dans un magazine pour se l’approprier et lui donner une autre vie. Ce transfert mental, simple en apparence, concourt à anoblir l’insignifiant, le banal voire l’inaperçu. Inès Andouche révèle les choses, tendue dans son trait et rassurée pour la mise en couleurs. Son univers traduit sans doute quelques réminiscences de la culture de son enfance, emmenée aujourd’hui par une forte personnalité artistique."
Seyni ,AWA CAMARA,"(Sénégal, 1939-)",Seny-Awa.jpg,"Envers et contre tout, Seyni Awa s’est montrée rebelle aux interdits ancestraux. Exhibant les « mauvais » esprits qui l’animent, se moquant des normes et laissant libre court à son excentricité et à ses fantaisies, elle modèle l’argile pour créer ses personnages, mi-femmes mi-monstres, accouchant d’autres petites créatures rieuses. Ses sculptures de dimensions impressionnantes sont cuites dans un trou dans la terre, le four le plus rudimentaire qui soit, devant sa maison."
Umberto,BERGAMASCHI,"(Italie, 1954 -)",Bergamaschi1ok.jpg,"Umberto Bergamaschi représente souvent ses personnages à l’intérieur d’une forme fermée et circulaire. Cette idée lui est apparue, pendant une phase de réflexion, lorsqu’il observait inlassablement la reproduction d’une pièce de monnaie. Ayant éprouvé une grande satisfaction intérieure, il n’a plus abandonné cette forme. Il représente des personnages et animaux aux contours très épurés qui sont décontextualisés et isolés dans cette bulle. Chaque chose est présentée comme une pure effigie, sans profondeur, dénué de détails et dans un univers amniotique où les notions d’espace et de temps sont bannies. Cette volonté d’abstraction et de tenir à l’écart les éléments de la réalité reflète la tendance d’Umberto Bergamaschi à se réfugier dans un univers silencieux. Il fréquente l'atelier artistique Adriano e Michele à San Colombano al Lambro depuis 1996."
Paul,BLOCKX,"(Belgique, 1961 - 2015)",BlockxPaul1892.JPG,"L’œuvre graphique de Paul Blockx plonge le spectateur dans un monde de douleur. L’artiste nous impose, de manière forte et sans détour, l’enfer de sa vie, la souffrance psychique qu’il subit depuis de nombreuses années. Pour lui, comme pour beaucoup d’artistes, la création signifie un exutoire, une manière de crier sa douleur et de la transcender. Il nous offre une œuvre forte et authentique qui est le reflet de l’âme de son auteur et qui recèle la part symbolique de son histoire intime. Tantôt choqué, tantôt ému, tantôt bouleversé par le message que véhicule cet autoportrait, aucun visiteur ne peut rester indifférent face à cette œuvre miroir."
Ignacio,CARLES-TOLRA ,"(Espagne, 1928-)",CARLES-TOLRA-Ignacio.jpg,"Ignacio Carles-Tolra s’installe à l’âge de trente ans à Zurich où il se lance en autodidacte dans une aventure artistique, suite à la découverte des écrits de Jean Dubuffet. Encouragé par ce dernier, avec qui il entretient une importante correspondance, il commence à dessiner la nuit, après son travail de fonctionnaire à la Croix-Rouge.
Il développe progressivement un bestiaire d’une grande diversité, regroupant oiseaux et autres créatures composites, souvent dotés de membres multipliés, qu’il désigne lui-même de « bestioles ».  Travaillant par impulsion et dans l’urgence, souvent par série, il est pris d’une fièvre d’être compris : « C’est la rogne qui me motive le plus, mais je m’amuse beaucoup aussi », confie-t-il. « Je dessine pour me guérir du quotidien. ». Son travail peut procéder de l’accident par tache, grattage, empreinte ou collage. "
Georges,CAUCHY,"(France, 1963 -)",cauchy.JPG,"Vastes étendues de couleurs pures, immensité d’un ciel nocturne, telle une partition musicale, les grands aplats colorés de Georges Cauchy vibrent au son d’une multitude de traits au feutre fin appliqués côte à côte par bandes régulières. Le dessin linéaire, sans esquisse préparatoire, est tracé au feutre noir. Il fragmente et cloisonne certains éléments, forme des arabesques énigmatiques. Ses dessins sont ensuite patiemment coiffés en traits ciselés de teintes vives. Son travail d’orfèvre affectionne les photographies de magazines, support d’interprétations personnelles, qu’il abandonne aussitôt que son travail de mosaïste gagne en surface. Les ombres prennent la forme de volutes, ses paysages ont l’allure de cartographies imaginaires. Georges Cauchy fréquente l’atelier peinture du Centre La Pommeraie, à Quevaucamps."
Klaus,COMPAGNIE,"(Belgique, 1972 -)",CompagnieKlaus.jpg,"Déjà durant sa jeunesse, Klaus Compagnie travaille avec enthousiasme et obsession à la traduction de son monde. Il croque des figures rudimentaires à la peinture, au fusain ou à la pyrogravure, qu'il accompagne de commentaires écrits. Les peintures illustrent ses connaissances et sa fantaisie sans limite. Il réalise des portraits, peint des faits historiques et nous confronte à ses connaissances anatomiques. Il donne des indications météorologiques ou de faits de l'actualité avec une interprétation personnelle en néerlandais, mais aussi en espagnol et en français. Il renforce l’image par du texte, ce qui rend ses œuvres humoristiques et intrigantes. Il fréquente depuis 1995 l'atelier artistique De Zandberg à Harelbeke."
Aloïse,CORBAZ ,"(Suisse, 1886-1964)",Aloise-Corbaz560.jpg,"A vingt-cinq ans, suite à une déception amoureuse, Aloïse s’expatrie en Allemagne pour travailler comme gouvernante à la cour de l’empereur Guillaume II. En 1914, au début de la guerre, elle doit retourner en Suisse et présente alors des troubles du comportement. Sa famille décide de l’interner dans l’hôpital de Céry puis de 1918 à sa mort dans l’asile de La Rosière à Gimel. Jacqueline Porret Forel, son médecin qui l’accompagne et étudie ses œuvres, les fait connaître à Jean Dubuffet. Enfermée, Aloïse crée des œuvres troublantes qui suivent des codes qui lui sont propres. Ses souvenirs resurgissent dans ses dessins : le faste de la cour de Guillaume II, les couples royaux et les scènes théâtrales. Elle ne les reproduit pas fidèlement, mais les déplace dans un monde en perpétuelle mouvance et d’une grande variété."
Sylvain,COSIJNS,"(Belgique, 1932 -)",cosijns.jpg,"Sylvain Cosijns a commencé à vivre et à s’épanouir à l’âge de 56 ans, lorsqu’il fut accueilli dans l’atelier de Jan Geldhof, responsable de l’atelier de peinture à Mariaheem (Zwalm). Durant sa vie, il a accumulé une somme de sensations, d’expériences, subies, vécues, sans jamais avoir l’occasion d’en faire part. Dessiner, peindre, c’est la perche qui lui donna l’opportunité de toucher la vie, les autres. Sylvain Cosijns et son œuvre ne font qu’un. Il mène son œuvre et la vit comme sa propre rédemption. Ses œuvres reflètent la fragilité des choses plus que l’héroïsme. Malheureusement, cette sensibilité est trop souvent mise à l’écart dans la vie et dans l’art. "
